;;;;108;16;1;0,14;2;0,29;48;7,11;3;0,44;;;2;0,29;1;0,14;49;7,25;34;5,03;;;2;0,29;4;0,59;117;17,33;28;4,14;9;1,33;19;2,81;50;7,4;5;0,74;;;193;28,59
2;0,35;;;68;11,9;3;0,52;1;0,17;27;4,72;3;0,52;1;0,17;;;;;55;9,63;30;5,25;1;0,17;1;0,17;1;0,17;114;19,96;31;5,42;5;0,87;20;3,5;40;7;3;0,52;2;0,35;163;28,54
1;0,12;1;0,12;127;16,32;;;2;0,25;40;5,14;3;0,38;1;0,12;1;0,12;;;79;10,15;37;4,75;2;0,25;3;0,38;4;0,51;136;17,48;34;4,37;6;0,77;26;3,34;61;7,84;5;0,64;;;209;26,86
2;0,44;1;0,22;57;12,78;;;;;23;5,15;1;0,22;;;;;;;43;9,64;28;6,27;;;2;0,44;4;0,89;89;19,95;23;5,15;3;0,67;22;4,93;32;7,17;;;1;0,22;115;25,78
;;;;56;13,08;;;;;15;3,5;3;0,7;;;;;;;46;10,74;37;8,64;1;0,23;2;0,46;4;0,93;107;25;19;4,43;6;1,4;9;2,1;31;7,24;6;1,4;;;86;20,09
;;;;79;11,98;;;1;0,15;43;6,52;;;;;;;;;66;10,01;38;5,76;3;0,45;3;0,45;1;0,15;147;22,3;24;3,64;;;19;2,88;55;8,34;2;0,3;;;178;27,01
;;;;97;16,44;;;;;19;3,22;5;0,84;;;;;;;40;6,77;36;6,1;2;0,33;2;0,33;;;103;17,45;38;6,44;3;0,5;20;3,38;31;5,25;3;0,5;1;0,16;190;32,2
5;0,57;;;124;14,17;;;5;0,57;40;4,57;5;0,57;;;;;;;85;9,71;47;5,37;1;0,11;3;0,34;2;0,22;164;18,74;42;4,8;8;0,91;31;3,54;56;6,4;4;0,45;2;0,22;251;28,68
;;;;82;12,85;;;3;0,47;32;5,01;3;0,47;1;0,15;;;;;59;9,24;44;6,89;;;1;0,15;2;0,31;107;16,77;43;6,73;6;0,94;16;2,5;51;7,99;4;0,62;2;0,31;182;28,52
1;0,19;;;74;14,17;;;2;0,38;33;6,32;2;0,38;;;;;;;48;9,19;36;6,89;;;1;0,19;1;0,19;110;21,07;21;4,02;4;0,76;13;2,49;38;7,27;4;0,76;;;134;25,67
3;0,45;;;100;15,12;;;;;26;3,93;2;0,3;1;0,15;;;2;0,3;73;11,04;40;6,05;;;3;0,45;1;0,15;109;16,49;19;2,87;9;1,36;16;2,42;71;10,74;2;0,3;1;0,15;183;27,68
;;;;90;13,65;1;0,15;1;0,15;31;4,7;3;0,45;;;;;;;58;8,8;38;5,76;;;3;0,45;4;0,6;145;22;37;5,61;13;1,97;21;3,18;36;5,46;4;0,6;;;174;26,4
;;;;79;12,48;;;;;28;4,42;6;0,94;1;0,15;;;;;45;7,1;41;6,47;;;;;2;0,31;149;23,53;39;6,16;16;2,52;24;3,79;35;5,52;3;0,47;1;0,15;164;25,9
;;;;91;14,96;;;;;40;6,57;8;1,31;1;0,16;;;;;57;9,37;38;6,25;;;2;0,32;2;0,32;119;19,57;23;3,78;5;0,82;28;4,6;37;6,08;1;0,16;1;0,16;155;25,49
3;0,49;;;89;14,63;;;1;0,16;34;5,59;5;0,82;;;;;;;50;8,22;34;5,59;;;5;0,82;2;0,32;133;21,87;22;3,61;8;1,31;18;2,96;44;7,23;3;0,49;;;157;25,82
;;;;65;11,66;;;2;0,35;38;6,82;4;0,71;;;;;;;48;8,61;26;4,66;;;2;0,35;5;0,89;115;20,64;16;2,87;8;1,43;30;5,38;26;4,66;;;;;172;30,87
2;0,22;;;128;14,41;1;0,11;3;0,33;48;5,4;6;0,67;1;0,11;;;;;68;7,65;42;4,72;1;0,11;1;0,11;5;0,56;136;15,31;54;6,08;12;1,35;32;3,6;60;6,75;6;0,67;1;0,11;281;31,64
1;0,13;;;77;10,59;1;0,13;;;64;8,8;4;0,55;;;;;1;0,13;58;7,97;30;4,12;1;0,13;2;0,27;1;0,13;131;18,01;43;5,91;8;1,1;23;3,16;63;8,66;2;0,27;;;217;29,84
1;0,12;;;126;15,53;;;2;0,24;37;4,56;5;0,61;;;;;;;79;9,74;28;3,45;;;6;0,73;5;0,61;119;14,67;50;6,16;4;0,49;25;3,08;65;8,01;3;0,36;2;0,24;254;31,31
6;0,66;;;138;15,23;;;;;66;7,28;4;0,44;1;0,11;;;;;107;11,81;52;5,73;1;0,11;1;0,11;2;0,22;137;15,12;36;3,97;11;1,21;39;4,3;53;5,84;6;0,66;1;0,11;245;27,04
3;0,36;;;136;16,58;1;0,12;1;0,12;45;5,48;11;1,34;1;0,12;1;0,12;;;69;8,41;45;5,48;4;0,48;2;0,24;1;0,12;158;19,26;67;8,17;19;2,31;27;3,29;47;5,73;9;1,09;;;173;21,09
3;0,34;;;123;14,2;;;2;0,23;46;5,31;3;0,34;;;;;;;62;7,15;44;5,08;;;;;5;0,57;165;19,05;49;5,65;13;1,5;36;4,15;50;5,77;2;0,23;4;0,46;259;29,9
;;1;0,14;92;13,16;1;0,14;2;0,28;43;6,15;3;0,42;1;0,14;;;2;0,28;55;7,86;47;6,72;;;3;0,42;3;0,42;121;17,31;23;3,29;8;1,14;22;3,14;47;6,72;8;1,14;1;0,14;216;30,9
4;0,39;1;0,09;146;14,46;2;0,19;4;0,39;80;7,92;5;0,49;;;1;0,09;1;0,09;88;8,72;52;5,15;;;3;0,29;10;0,99;137;13,57;32;3,17;13;1,28;33;3,27;63;6,24;8;0,79;;;326;32,3
11;1,43;;;97;12,69;;;2;0,26;93;12,17;3;0,39;1;0,13;;;2;0,26;65;8,5;50;6,54;;;3;0,39;3;0,39;121;15,83;22;2,87;8;1,04;60;7,85;40;5,23;2;0,26;1;0,13;180;23,56
2;0,38;;;75;14,47;1;0,19;1;0,19;30;5,79;2;0,38;;;;;;;33;6,37;32;6,17;2;0,38;2;0,38;2;0,38;95;18,33;23;4,44;2;0,38;28;5,4;32;6,17;3;0,57;;;153;29,53
2;0,36;;;64;11,67;;;;;31;5,65;1;0,18;;;;;;;50;9,12;24;4,37;;;1;0,18;3;0,54;124;22,62;27;4,92;8;1,45;19;3,46;38;6,93;1;0,18;2;0,36;153;27,91
2;0,46;;;42;9,76;;;1;0,23;27;6,27;4;0,93;;;;;;;44;10,23;39;9,06;;;3;0,69;1;0,23;95;22,09;25;5,81;5;1,16;15;3,48;33;7,67;2;0,46;1;0,23;91;21,16
1;0,13;;;99;13,84;;;;;46;6,43;7;0,97;1;0,13;;;;;79;11,04;36;5,03;1;0,13;1;0,13;1;0,13;123;17,2;33;4,61;8;1,11;19;2,65;45;6,29;3;0,41;1;0,13;211;29,51
1;0,20;;;64;12,82;;;;;31;6,21;1;0,2;;;;;;;48;9,61;30;6,01;;;1;0,2;;;103;20,64;18;3,6;9;1,8;14;2,8;48;9,61;2;0,4;1;0,2;128;25,65
2;0,37;2;0,37;60;11,19;;;;;30;5,59;1;0,18;;;;;;;61;11,38;20;3,73;;;1;0,18;3;0,55;134;25;26;4,85;5;0,93;18;3,35;41;7,64;10;1,86;;;122;22,76
4;0,56;;;100;14,1;;;3;0,42;40;5,64;3;0,42;;;;;1;0,14;72;10,15;31;4,37;;;1;0,14;2;0,28;119;16,78;21;2,96;4;0,56;17;2,39;50;7,05;8;1,12;;;233;32,86
3;0,34;;;124;14,41;1;0,11;;;44;5,11;4;0,46;;;;;;;88;10,23;44;5,11;1;0,11;2;0,23;5;0,58;170;19,76;26;3,02;12;1,39;35;4,06;50;5,81;6;0,69;;;245;28,48
;;;;104;12,96;;;2;0,24;54;6,73;7;0,87;1;0,12;;;1;0,12;71;8,85;40;4,98;;;4;0,49;2;0,24;152;18,95;38;4,73;13;1,62;20;2,49;64;7,98;6;0,74;1;0,12;222;27,68
2;0,38;;;81;15,39;;;1;0,19;29;5,51;4;0,76;;;;;;;43;8,17;33;6,27;1;0,19;;;1;0,19;86;16,34;16;3,04;7;1,33;27;5,13;27;5,13;6;1,14;;;162;30,79
5;0,88;1;0,17;64;11,32;;;1;0,17;47;8,31;5;0,88;1;0,17;;;;;45;7,96;39;6,9;1;0,17;;;1;0,17;136;24,07;34;6,01;4;0,7;12;2,12;39;6,9;2;0,35;;;128;22,65
;;1;0,23;45;10,48;;;;;21;4,89;4;0,93;;;;;1;0,23;36;8,39;33;7,69;1;0,23;;;;;78;18,18;26;6,06;4;0,93;12;2,79;30;6,99;;;;;137;31,93
5;1,03;;;63;12,98;;;;;30;6,18;2;0,41;;;;;;;49;10,1;31;6,39;;;;;1;0,2;96;19,79;15;3,09;5;1,03;13;2,68;30;6,18;2;0,41;;;143;29,48
;;1;0,15;98;14,96;;;1;0,15;47;7,17;2;0,3;4;0,61;;;1;0,15;37;5,64;50;7,63;1;0,15;3;0,45;1;0,15;138;21,06;33;5,03;1;0,15;19;2,9;52;7,93;2;0,3;1;0,15;163;24,88
;;1;0,15;87;13,61;;;2;0,31;45;7,04;2;0,31;;;;;;;64;10,01;51;7,98;5;0,78;4;0,62;4;0,62;154;24,1;28;4,38;4;0,62;21;3,28;32;5;7;1,09;2;0,31;126;19,71
3;0,63;;;67;14,13;1;0,21;;;39;8,22;;;;;;;;;47;9,91;20;4,21;;;2;0,42;1;0,21;102;21,51;23;4,85;5;1,05;16;3,37;31;6,54;2;0,42;;;115;24,26
;;;;67;11,37;;;;;34;5,77;3;0,5;;;;;;;51;8,65;48;8,14;;;1;0,16;4;0,67;123;20,88;33;5,6;5;0,84;25;4,24;34;5,77;3;0,5;1;0,16;157;26,65
4;0,78;;;70;13,77;;;;;25;4,92;4;0,78;1;0,19;;;1;0,19;42;8,26;20;3,93;;;1;0,19;4;0,78;107;21,06;32;6,29;10;1,96;19;3,74;39;7,67;2;0,39;;;127;25
2;0,28;;;123;17,67;;;;;35;5,02;1;0,14;1;0,14;;;;;41;5,89;52;7,47;1;0,14;2;0,28;1;0,14;115;16,52;36;5,17;5;0,71;36;5,17;54;7,75;1;0,14;1;0,14;189;27,15
2;0,32;;;91;14,86;;;;;58;9,47;2;0,32;;;;;2;0,32;46;7,51;48;7,84;;;4;0,65;;;119;19,44;20;3,26;8;1,3;33;5,39;50;8,16;;;1;0,16;128;20,91
2;0,30;;;81;12,5;1;0,15;;;53;8,17;2;0,3;;;;;1;0,15;45;6,94;43;6,63;2;0,3;5;0,77;;;112;17,28;18;2,77;6;0,92;38;5,86;48;7,4;6;0,92;;;185;28,54
